experiment #,test_prediction,test_real
1,10,0
2,0,0
3,0,0
4,0,0
5,0,0
6,10,0
7,0,0
8,0,0
9,0,0
10,10,0
11,10,0
12,0,0
13,9,9
14,9,9
15,9,9
16,9,9
17,9,9
18,9,9
19,9,9
20,9,9
21,9,9
22,9,9
23,9,9
24,9,9
25,10,10
26,10,10
27,10,10
28,10,10
29,10,10
30,10,10
31,10,10
32,10,10
33,10,10
34,10,10
35,10,10
36,10,10
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,2,2
50,0,2
51,2,2
52,2,2
53,0,2
54,0,2
55,0,2
56,0,2
57,9,2
58,2,2
59,2,2
60,9,2
61,3,3
62,3,3
63,3,3
64,3,3
65,3,3
66,3,3
67,3,3
68,3,3
69,3,3
70,3,3
71,3,3
72,3,3
73,5,5
74,0,5
75,5,5
76,5,5
77,0,5
78,5,5
79,5,5
80,5,5
81,5,5
82,5,5
83,5,5
84,5,5
85,6,6
86,6,6
87,6,6
88,6,6
89,6,6
90,6,6
91,6,6
92,6,6
93,6,6
94,6,6
95,6,6
96,6,6
97,7,7
98,7,7
99,7,7
100,7,7
101,7,7
102,7,7
103,7,7
104,7,7
105,7,7
106,7,7
107,7,7
108,7,7
109,8,8
110,8,8
111,8,8
112,8,8
113,8,8
114,8,8
115,8,8
116,8,8
117,8,8
118,8,8
119,8,8
120,8,8
121,10,10
122,10,10
123,10,10
124,10,10
125,10,10
126,10,10
127,10,10
128,1,10
129,10,10
130,10,10
131,10,10
132,10,10
133,11,11
134,11,11
135,11,11
136,11,11
137,11,11
138,11,11
139,11,11
140,11,11
141,11,11
142,11,11
143,11,11
144,11,11
145,6,6
146,6,6
147,6,6
148,6,6
149,6,6
150,6,6
151,6,6
152,6,6
153,6,6
154,6,6
155,6,6
156,6,6
157,7,7
158,7,7
159,7,7
160,7,7
161,7,7
162,7,7
163,7,7
164,7,7
165,7,7
166,7,7
167,7,7
168,7,7
169,11,11
170,11,11
171,11,11
172,11,11
173,11,11
174,11,11
175,11,11
176,11,11
177,11,11
178,11,11
179,11,11
180,5,4
181,5,4
182,5,4
183,5,4
184,4,4
185,4,4
186,5,4
187,4,4
188,4,4
189,4,4
190,5,4
191,0,0
192,3,0
193,3,0
194,3,0
195,0,0
196,0,0
197,3,0
198,4,0
199,0,0
200,3,0
201,3,0
202,9,9
203,9,9
204,9,9
205,9,9
206,9,9
207,9,9
208,9,9
209,9,9
210,9,9
211,9,9
212,9,9
213,10,10
214,10,10
215,10,10
216,10,10
217,10,10
218,10,10
219,10,10
220,10,10
221,10,10
222,10,10
223,10,10
224,10,10
225,11,11
226,11,11
227,11,11
228,11,11
229,11,11
230,11,11
231,11,11
232,11,11
233,11,11
234,11,11
235,11,11
236,11,11
237,1,1
238,1,1
239,1,1
240,1,1
241,1,1
242,1,1
243,1,1
244,1,1
245,1,1
246,1,1
247,1,1
248,1,1
249,2,2
250,2,2
251,2,2
252,2,2
253,2,2
254,2,2
255,9,2
256,2,2
257,2,2
258,2,2
259,2,2
260,3,3
261,3,3
262,3,3
263,3,3
264,3,3
265,3,3
266,3,3
267,3,3
268,3,3
269,3,3
270,3,3
271,4,4
272,4,4
273,4,4
274,4,4
275,4,4
276,4,4
277,4,4
278,4,4
279,4,4
280,4,4
281,4,4
282,4,5
283,5,5
284,5,5
285,4,5
286,4,5
287,5,5
288,5,5
289,5,5
290,5,5
291,4,5
292,5,5
293,6,6
294,6,6
295,6,6
296,6,6
297,6,6
298,6,6
299,6,6
300,6,6
301,6,6
302,6,6
303,6,6
304,7,7
305,7,7
306,7,7
307,7,7
