experiment #,test_prediction,test_real
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
10,2,0
11,2,0
12,2,0
13,9,9
14,9,9
15,9,9
16,9,9
17,9,9
18,9,9
19,9,9
20,9,9
21,9,9
22,9,9
23,9,9
24,9,9
25,11,11
26,11,11
27,11,11
28,11,11
29,11,11
30,11,11
31,11,11
32,11,11
33,11,11
34,11,11
35,11,11
36,11,11
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,3,3
50,3,3
51,3,3
52,3,3
53,3,3
54,3,3
55,3,3
56,3,3
57,3,3
58,3,3
59,3,3
60,3,3
61,6,6
62,6,6
63,6,6
64,6,6
65,6,6
66,6,6
67,6,6
68,6,6
69,6,6
70,6,6
71,6,6
72,6,6
73,6,7
74,6,7
75,7,7
76,7,7
77,7,7
78,7,7
79,7,7
80,7,7
81,7,7
82,7,7
83,7,7
84,10,10
85,10,10
86,10,10
87,10,10
88,10,10
89,10,10
90,10,10
91,10,10
92,10,10
93,10,10
94,10,10
95,10,10
96,2,2
97,2,2
98,2,2
99,1,2
100,2,2
101,2,2
102,2,2
103,2,2
104,2,2
105,2,2
106,2,2
107,4,4
108,4,4
109,4,4
110,4,4
111,4,4
112,3,4
113,4,4
114,4,4
115,4,4
116,4,4
117,4,4
118,4,4
119,5,5
120,5,5
121,5,5
122,5,5
123,5,5
124,5,5
125,5,5
126,5,5
127,5,5
128,2,5
129,5,5
130,8,8
131,8,8
132,8,8
133,8,8
134,8,8
135,8,8
136,8,8
137,8,8
138,8,8
139,8,8
140,8,8
141,8,8
142,2,0
143,4,0
144,2,0
145,2,0
146,2,0
147,2,0
148,3,0
149,11,0
150,2,0
151,3,0
152,2,0
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,9,2
166,9,2
167,2,2
168,9,2
169,9,2
170,9,2
171,2,2
172,9,2
173,2,2
174,2,2
175,2,2
176,11,2
177,3,3
178,3,3
179,3,3
180,3,3
181,3,3
182,3,3
183,3,3
184,3,3
185,3,3
186,3,3
187,3,3
188,3,3
189,4,4
190,4,4
191,4,4
192,4,4
193,4,4
194,4,4
195,4,4
196,4,4
197,4,4
198,4,4
199,4,4
200,5,5
201,5,5
202,5,5
203,5,5
204,5,5
205,4,5
206,5,5
207,5,5
208,5,5
209,5,5
210,5,5
211,6,6
212,6,6
213,6,6
214,6,6
215,6,6
216,6,6
217,6,6
218,6,6
219,8,6
220,6,6
221,6,6
222,6,6
223,7,7
224,7,7
225,7,7
226,7,7
227,7,7
228,7,7
229,7,7
230,7,7
231,7,7
232,7,7
233,7,7
234,7,7
235,8,8
236,8,8
237,8,8
238,8,8
239,8,8
240,8,8
241,8,8
