experiment #,test_prediction,test_real
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,9
14,2,9
15,0,9
16,0,9
17,3,9
18,0,9
19,3,9
20,3,9
21,3,9
22,0,9
23,0,9
24,0,9
25,0,10
26,0,10
27,0,10
28,0,10
29,0,10
30,0,10
31,0,10
32,0,10
33,0,10
34,0,10
35,0,10
36,0,10
37,0,1
38,0,1
39,0,1
40,0,1
41,0,1
42,0,1
43,0,1
44,0,1
45,0,1
46,0,1
47,0,1
48,0,1
49,2,2
50,2,2
51,2,2
52,2,2
53,2,2
54,2,2
55,2,2
56,0,2
57,2,2
58,2,2
59,0,2
60,2,2
61,0,3
62,0,3
63,0,3
64,0,3
65,0,3
66,0,3
67,0,3
68,0,3
69,0,3
70,0,3
71,0,3
72,0,3
73,0,5
74,0,5
75,0,5
76,0,5
77,0,5
78,0,5
79,0,5
80,0,5
81,0,5
82,0,5
83,0,5
84,0,5
85,6,6
86,6,6
87,6,6
88,6,6
89,6,6
90,6,6
91,6,6
92,6,6
93,6,6
94,6,6
95,6,6
96,6,6
97,7,7
98,7,7
99,7,7
100,7,7
101,7,7
102,7,7
103,7,7
104,7,7
105,7,7
106,7,7
107,7,7
108,7,7
109,7,8
110,8,8
111,8,8
112,8,8
113,8,8
114,8,8
115,8,8
116,8,8
117,8,8
118,8,8
119,8,8
120,8,8
121,10,10
122,10,10
123,10,10
124,10,10
125,10,10
126,10,10
127,10,10
128,10,10
129,0,10
130,10,10
131,10,10
132,10,10
133,11,11
134,11,11
135,11,11
136,11,11
137,11,11
138,11,11
139,11,11
140,11,11
141,11,11
142,11,11
143,11,11
144,11,11
145,6,6
146,6,6
147,6,6
148,6,6
149,6,6
150,6,6
151,6,6
152,6,6
153,6,6
154,6,6
155,6,6
156,6,6
157,7,7
158,7,7
159,7,7
160,7,7
161,7,7
162,7,7
163,7,7
164,7,7
165,7,7
166,7,7
167,7,7
168,7,7
169,11,11
170,11,11
171,11,11
172,11,11
173,11,11
174,11,11
175,11,11
176,11,11
177,11,11
178,11,11
179,11,11
180,4,4
181,4,4
182,5,4
183,5,4
184,4,4
185,4,4
186,4,4
187,5,4
188,4,4
189,4,4
190,4,4
191,0,0
192,3,0
193,10,0
194,3,0
195,3,0
196,0,0
197,3,0
198,3,0
199,3,0
200,3,0
201,3,0
202,9,9
203,9,9
204,9,9
205,9,9
206,9,9
207,9,9
208,1,9
209,9,9
210,9,9
211,1,9
212,9,9
213,10,10
214,10,10
215,10,10
216,10,10
217,10,10
218,10,10
219,10,10
220,10,10
221,10,10
222,10,10
223,10,10
224,10,10
225,11,11
226,11,11
227,11,11
228,11,11
229,11,11
230,11,11
231,11,11
232,11,11
233,11,11
234,11,11
235,11,11
236,11,11
237,1,1
238,1,1
239,1,1
240,1,1
241,1,1
242,1,1
243,1,1
244,1,1
245,1,1
246,1,1
